user_id,product_id,interaction_type
1,439,view
3,144,view
1,462,view
1,462,cart
1,462,purchase
3,138,view
3,180,view
3,180,wishlist
3,344,view
1,455,view
1,455,wishlist
1,455,cart
1,455,purchase
1,86,view
1,430,view
1,430,cart
1,425,view
1,425,cart
1,28,view
1,28,cart
1,191,view
1,7,view
3,152,view
3,152,wishlist
3,152,cart
3,167,view
1,54,view
1,427,view
1,427,wishlist
3,199,view
1,451,view
1,451,wishlist
1,45,view
3,131,view
1,456,view
1,42,view
1,471,view
3,178,view
1,462,view
1,462,cart
1,462,purchase
3,156,view
3,156,wishlist
3,163,view
3,131,view
3,156,view
3,156,cart
3,156,purchase
3,487,view
3,136,view
3,150,view
1,462,view
1,462,wishlist
1,462,cart
1,462,purchase
1,479,view
3,149,view
3,149,cart
3,149,purchase
1,18,view
1,30,view
1,30,cart
3,577,view
3,577,cart
3,577,purchase
1,449,view
1,449,wishlist
3,133,view
3,53,view
3,130,view
3,130,cart
3,162,view
1,456,view
1,466,view
3,138,view
1,25,view
3,143,view
3,143,wishlist
1,473,view
3,173,view
1,25,view
1,25,wishlist
3,340,view
1,18,view
3,128,view
1,12,view
1,429,view
1,429,cart
1,429,view
1,448,view
3,373,view
1,460,view
1,3,view
1,3,wishlist
1,3,cart
3,135,view
1,476,view
3,147,view
3,134,view
3,177,view
3,135,view
1,2,view
1,2,cart
1,2,purchase
1,464,view
3,132,view
3,157,view
1,451,view
3,134,view
3,179,view
1,466,view
3,396,view
1,478,view
3,128,view
1,13,view
1,61,view
1,61,wishlist
1,35,view
1,35,wishlist
3,152,view
3,152,wishlist
1,61,view
1,541,view
1,470,view
1,470,wishlist
1,431,view
3,447,view
3,447,wishlist
1,37,view
1,37,wishlist
1,478,view
1,478,cart
1,34,view
3,135,view
3,135,wishlist
1,478,view
1,442,view
1,16,view
1,450,view
1,450,wishlist
1,450,cart
1,13,view
1,425,view
1,188,view
1,17,view
1,20,view
1,20,cart
1,20,purchase
3,165,view
3,165,wishlist
1,14,view
1,191,view
1,191,wishlist
1,477,view
1,477,cart
1,477,purchase
3,155,view
1,30,view
3,64,view
3,165,view
1,24,view
1,454,view
3,157,view
3,38,view
3,142,view
3,142,wishlist
1,3,view
1,3,cart
1,3,purchase
1,459,view
3,159,view
3,175,view
3,175,cart
1,436,view
1,436,wishlist
3,174,view
3,174,wishlist
3,165,view
1,40,view
1,40,wishlist
1,25,view
1,27,view
1,27,wishlist
3,161,view
3,159,view
1,470,view
1,474,view
1,474,wishlist
1,474,cart
3,524,view
3,137,view
3,137,wishlist
1,61,view
1,164,view
1,164,cart
1,4,view
1,4,wishlist
1,4,cart
1,4,purchase
3,144,view
3,324,view
1,465,view
1,465,wishlist
1,465,cart
1,465,purchase
1,35,view
3,131,view
1,426,view
1,14,view
1,474,view
1,474,wishlist
1,474,cart
1,458,view
1,427,view
1,427,wishlist
3,143,view
1,334,view
1,472,view
1,453,view
1,453,wishlist
3,158,view
3,158,cart
3,158,purchase
3,148,view
1,449,view
1,449,wishlist
3,144,view
3,125,view
1,311,view
1,311,wishlist
1,43,view
1,266,view
3,140,view
1,16,view
1,16,wishlist
3,130,view
1,282,view
1,282,wishlist
1,461,view
1,406,view
1,423,view
1,423,cart
1,29,view
1,450,view
3,533,view
3,533,cart
1,54,view
1,480,view
1,480,wishlist
3,166,view
3,331,view
3,331,wishlist
3,30,view
3,356,view
3,356,wishlist
1,444,view
1,444,wishlist
1,444,cart
3,407,view
1,43,view
1,43,cart
1,432,view
1,432,wishlist
3,156,view
3,156,wishlist
3,345,view
3,345,wishlist
3,168,view
3,168,wishlist
3,168,cart
3,168,purchase
1,10,view
3,332,view
3,332,wishlist
3,159,view
1,461,view
3,174,view
3,127,view
3,127,wishlist
1,385,view
1,385,wishlist
1,435,view
1,435,cart
1,467,view
1,46,view
3,166,view
3,166,cart
3,166,purchase
1,454,view
3,136,view
3,176,view
3,176,wishlist
3,312,view
3,312,cart
3,168,view
3,168,wishlist
3,138,view
3,163,view
3,564,view
3,564,wishlist
3,564,cart
3,564,purchase
3,145,view
3,145,cart
3,150,view
3,150,wishlist
3,162,view
3,362,view
3,176,view
3,124,view
3,164,view
3,163,view
3,163,wishlist
3,233,view
1,463,view
3,133,view
3,133,wishlist
3,155,view
1,61,view
1,61,wishlist
1,30,view
1,30,cart
1,30,purchase
3,145,view
1,59,view
1,469,view
3,173,view
3,173,wishlist
3,164,view
1,30,view
3,129,view
1,9,view
1,9,wishlist
3,142,view
3,142,cart
3,425,view
1,42,view
3,225,view
3,144,view
3,162,view
1,41,view
1,41,wishlist
1,41,cart
1,442,view
3,160,view
3,140,view
3,139,view
3,129,view
3,129,wishlist
1,439,view
1,453,view
1,453,wishlist
1,453,cart
1,435,view
3,147,view
3,157,view
3,157,wishlist
3,493,view
1,476,view
3,133,view
1,426,view
1,468,view
1,4,view
1,4,cart
1,4,purchase
3,461,view
3,461,wishlist
3,461,cart
3,179,view
3,179,wishlist
1,433,view
1,497,view
3,148,view
3,148,wishlist
3,138,view
3,138,wishlist
3,152,view
3,144,view
3,140,view
3,136,view
3,136,wishlist
1,435,view
1,3,view
1,477,view
3,142,view
3,142,cart
3,142,purchase
3,143,view
3,143,wishlist
3,408,view
3,133,view
3,154,view
3,143,view
1,81,view
3,171,view
3,177,view
3,555,view
1,466,view
1,57,view
1,57,wishlist
1,25,view
1,49,view
1,459,view
1,459,cart
1,459,purchase
1,436,view
1,56,view
1,56,cart
1,25,view
1,25,wishlist
3,565,view
3,565,wishlist
3,57,view
3,57,cart
3,57,purchase
3,142,view
3,134,view
1,47,view
3,169,view
3,169,wishlist
3,177,view
3,217,view
3,217,wishlist
1,448,view
1,42,view
3,145,view
1,61,view
3,124,view
3,124,wishlist
3,124,cart
3,124,purchase
1,424,view
1,452,view
1,55,view
1,454,view
3,157,view
3,131,view
3,131,cart
3,131,purchase
3,163,view
3,163,cart
3,163,purchase
1,389,view
3,126,view
1,427,view
3,168,view
3,168,wishlist
3,152,view
3,169,view
1,57,view
3,149,view
3,149,wishlist
1,430,view
3,120,view
3,238,view
3,238,cart
3,238,purchase
3,154,view
3,130,view
1,12,view
1,12,wishlist
1,471,view
1,471,wishlist
3,156,view
3,156,wishlist
3,136,view
1,58,view
1,58,wishlist
3,179,view
3,161,view
3,161,wishlist
3,160,view
3,160,cart
3,160,purchase
1,21,view
1,329,view
3,167,view
1,476,view
3,138,view
3,138,cart
3,138,purchase
3,181,view
3,181,cart
3,181,purchase
1,449,view
1,445,view
3,148,view
3,148,cart
3,148,purchase
3,17,view
1,441,view
1,441,wishlist
1,441,cart
1,441,purchase
1,25,view
1,30,view
1,422,view
1,422,wishlist
1,422,cart
1,261,view
1,450,view
1,450,view
1,310,view
1,124,view
1,405,view
1,19,view
1,19,wishlist
3,123,view
3,133,view
3,133,wishlist
3,214,view
3,214,wishlist
3,123,view
1,474,view
1,474,wishlist
3,307,view
3,166,view
1,36,view
1,36,wishlist
1,465,view
1,465,cart
1,465,purchase
1,323,view
1,235,view
1,456,view
3,461,view
1,20,view
1,20,cart
1,20,purchase
3,140,view
3,140,wishlist
3,175,view
3,175,wishlist
1,158,view
1,158,wishlist
3,167,view
