id,name,category_fk_id
2,Huawei Slim Laptop Intel i7,1
3,Acer Ultra Laptop Intel i9,1
4,MSI Business Laptop Ryzen 7,1
5,MSI Ultra Laptop Ryzen 7,1
6,Dell Ultra Laptop Ryzen 7,1
7,Samsung Ultra Laptop Ryzen 5,1
8,Samsung Notebook Laptop Apple M2,1
9,Acer Ultra Laptop Ryzen 7,1
10,Samsung Gaming Laptop Ryzen 7,1
11,Acer Gaming Laptop Apple M2,1
12,Asus Ultra Laptop Apple M2,1
13,Dell Ultra Laptop Intel i7,1
14,LG Gaming Laptop Intel i9,1
15,Asus Business Laptop Ryzen 7,1
16,Lenovo Ultra Laptop Apple M2,1
17,Apple Ultra Laptop Intel i5,1
18,Asus Professional Laptop Intel i5,1
19,Samsung Professional Laptop Ryzen 5,1
20,Apple Business Laptop Intel i5,1
21,LG Ultra Laptop Intel i9,1
22,Huawei Professional Laptop Intel i9,1
23,LG Notebook Laptop Apple M2,1
24,Acer Slim Laptop Ryzen 7,1
25,MSI Notebook Laptop Apple M2,1
26,HP Ultra Laptop Ryzen 7,1
27,Lenovo Slim Laptop Ryzen 5,1
28,Samsung Slim Laptop Ryzen 7,1
29,Acer Ultra Laptop Intel i9,1
30,Lenovo Business Laptop Ryzen 7,1
31,Apple Gaming Laptop Intel i5,1
32,LG Ultra Laptop Intel i5,1
33,Dell Professional Laptop Intel i9,1
34,HP Slim Laptop Intel i7,1
35,MSI Slim Laptop Intel i5,1
36,Huawei Ultra Laptop Apple M2,1
37,Acer Professional Laptop Apple M2,1
38,Huawei Professional Laptop Ryzen 5,1
39,Samsung Business Laptop Ryzen 7,1
40,Apple Gaming Laptop Apple M2,1
41,MSI Gaming Laptop Intel i5,1
42,Dell Ultra Laptop Ryzen 7,1
43,Lenovo Gaming Laptop Intel i9,1
44,Dell Notebook Laptop Apple M2,1
45,Samsung Gaming Laptop Ryzen 7,1
46,Acer Notebook Laptop Ryzen 7,1
47,Acer Business Laptop Intel i7,1
48,Asus Business Laptop Ryzen 7,1
49,Samsung Ultra Laptop Intel i7,1
50,HP Ultra Laptop Intel i5,1
51,Apple Professional Laptop Apple M2,1
52,Acer Professional Laptop Intel i5,1
53,Huawei Business Laptop Intel i7,1
54,Asus Slim Laptop Intel i7,1
55,HP Business Laptop Intel i5,1
56,LG Gaming Laptop Intel i7,1
57,Huawei Gaming Laptop Intel i5,1
58,Lenovo Notebook Laptop Intel i7,1
59,Dell Slim Laptop Apple M2,1
60,HP Professional Laptop Intel i7,1
61,Dell Gaming Laptop Ryzen 7,1
62,Vivo Pro Mobile 8GB RAM,2
63,Realme Plus Mobile 128GB,2
64,Vivo Plus Mobile 128GB,2
65,Apple Ultra Mobile 12GB RAM,2
66,Samsung Ultra Mobile 128GB,2
67,Samsung Max Mobile 128GB,2
68,Apple Plus Mobile 12GB RAM,2
69,Vivo Max Mobile 512GB,2
70,Oppo Plus Mobile 256GB,2
71,Oppo Max Mobile 12GB RAM,2
72,Motorola Plus Mobile 128GB,2
73,Motorola Pro Mobile 128GB,2
74,Realme Max Mobile 128GB,2
75,Xiaomi 5G Mobile 512GB,2
76,Motorola Note Mobile 512GB,2
77,Oppo 5G Mobile 256GB,2
78,OnePlus Max Mobile 128GB,2
79,Realme Note Mobile 12GB RAM,2
80,Motorola Note Mobile 12GB RAM,2
81,OnePlus Note Mobile 256GB,2
82,Realme Max Mobile 8GB RAM,2
83,Realme Max Mobile 256GB,2
84,Samsung 5G Mobile 12GB RAM,2
85,Realme Plus Mobile 512GB,2
86,Xiaomi Note Mobile 512GB,2
87,Samsung Max Mobile 12GB RAM,2
88,Oppo Pro Mobile 256GB,2
89,Oppo Max Mobile 12GB RAM,2
90,Oppo Ultra Mobile 256GB,2
91,OnePlus Note Mobile 128GB,2
92,Oppo Ultra Mobile 12GB RAM,2
93,Vivo Max Mobile 256GB,2
94,Vivo Max Mobile 256GB,2
95,Xiaomi Max Mobile 512GB,2
96,Samsung Ultra Mobile 128GB,2
97,Xiaomi Note Mobile 128GB,2
98,Apple Ultra Mobile 256GB,2
99,OnePlus Ultra Mobile 8GB RAM,2
100,Xiaomi Plus Mobile 128GB,2
101,Motorola Pro Mobile 128GB,2
102,Samsung Pro Mobile 256GB,2
103,Samsung Pro Mobile 128GB,2
104,OnePlus 5G Mobile 512GB,2
105,Samsung Max Mobile 256GB,2
106,Vivo Note Mobile 8GB RAM,2
107,Apple Pro Mobile 512GB,2
108,Motorola Note Mobile 12GB RAM,2
109,Apple Note Mobile 256GB,2
110,Vivo Ultra Mobile 12GB RAM,2
111,Xiaomi Pro Mobile 128GB,2
112,Oppo 5G Mobile 128GB,2
113,Apple Pro Mobile 512GB,2
114,Motorola 5G Mobile 256GB,2
115,Vivo Ultra Mobile 512GB,2
116,Realme Max Mobile 256GB,2
117,Motorola Note Mobile 128GB,2
118,Vivo Plus Mobile 12GB RAM,2
119,Realme Pro Mobile 12GB RAM,2
120,Oppo Ultra Mobile 128GB,2
121,Samsung Ultra Mobile 256GB,2
122,Sony Bluetooth Headphones ANC,3
123,JBL Noise Cancelling Headphones ANC,3
124,Boat Bluetooth Headphones Premium,3
125,JBL Noise Cancelling Headphones RGB,3
126,Boat Gaming Headphones ANC,3
127,Apple Bluetooth Headphones ANC,3
128,Boat Bluetooth Headphones ANC,3
129,Bose Noise Cancelling Headphones Premium,3
130,Sony Gaming Headphones ANC,3
131,Boat Gaming Headphones RGB,3
132,Noise Bluetooth Headphones ANC,3
133,Boat Gaming Headphones ANC,3
134,Noise Wireless Headphones ANC,3
135,Bose Noise Cancelling Headphones Premium,3
136,Boat Bluetooth Headphones RGB,3
137,Noise Wireless Headphones RGB,3
138,JBL Noise Cancelling Headphones Premium,3
139,Apple Noise Cancelling Headphones RGB,3
140,Apple Gaming Headphones ANC,3
141,Apple Noise Cancelling Headphones RGB,3
142,Apple Wireless Headphones Premium,3
143,Noise Bluetooth Headphones ANC,3
144,Noise Gaming Headphones ANC,3
145,Bose Noise Cancelling Headphones Bass Boost,3
146,JBL Noise Cancelling Headphones Bass Boost,3
147,JBL Gaming Headphones ANC,3
148,Noise Gaming Headphones Premium,3
149,JBL Wireless Headphones ANC,3
150,Noise Gaming Headphones ANC,3
151,Noise Noise Cancelling Headphones RGB,3
